time_s,transmit_positive,transmit_negative,measured_positive,measured_negative,pulse_inversion_half_sum,recovered_harmonic,validation_true_nonlinear
1.595e-05,-1.5598082461972184e-70,1.5598082461972184e-70,-0.011440647773041579,-0.0035188538557264057,-0.007479750814383992,-0.007479750814383992,-0.000469788838404888
1.5975e-05,-3.346558809897518e-71,3.346558809897518e-71,-0.004603044697728273,-0.03776032201132946,-0.021181683354528864,-0.021181683354528864,-0.0004697888948369376
1.6e-05,-1.4473401414015028e-84,1.4473401414015028e-84,-0.006975648686198873,-0.016823730822507453,-0.011899689754353163,-0.011899689754353163,-0.0004697889516576425
1.6025e-05,5.531824506440902e-72,-5.531824506440902e-72,-0.009474178205107027,0.015376625739041748,0.0029512237669673605,0.0029512237669673605,-0.0004697890088672671
1.605e-05,4.261976759009071e-72,-4.261976759009071e-72,0.005245924539265454,0.0064553929325654865,0.005850658735915471,0.005850658735915471,-0.000469789066466095
1.6075e-05,2.3701217853985185e-72,-2.3701217853985185e-72,0.00048066243627918663,0.0021252753262126474,0.001302968881245917,0.001302968881245917,-0.0004697891244544219
1.61e-05,1.1229340031096657e-72,-1.1229340031096657e-72,0.0028113000211418535,-0.008759915319247708,-0.0029743076490529275,-0.0029743076490529275,-0.00046978918283255847
1.6125e-05,4.746757667070735e-73,-4.746757667070735e-73,-0.005068832927883336,0.01306383571586272,0.003997501393989692,0.003997501393989692,-0.0004697892416008171
1.615e-05,1.810367744945603e-73,-1.810367744945603e-73,0.015451589126781915,0.005923478013555276,0.010687533570168595,0.010687533570168595,-0.00046978930075950977
1.6175e-05,6.160214054563222e-74,-6.160214054563222e-74,-0.017426310779752433,-0.018115361047076364,-0.0177708359134144,-0.0177708359134144,-0.00046978936030893484
1.62e-05,1.7858656694971133e-74,-1.7858656694971133e-74,0.005947848214672904,0.005127025172865634,0.005537436693769269,0.005537436693769269,-0.00046978942024938875
1.6225e-05,3.736961951668455e-75,-3.736961951668455e-75,0.002779837700376643,-0.01987014692615182,-0.008545154612887589,-0.008545154612887589,-0.0004697894805811574
1.625e-05,1.41158457909934e-88,-1.41158457909934e-88,-0.028645857833608138,0.010641136643426885,-0.009002360595090627,-0.009002360595090627,-0.0004697895413045335
1.6275e-05,-5.875893079021898e-76,5.875893079021898e-76,0.002989009479151898,0.01587674169090012,0.00943287558502601,0.00943287558502601,-0.00046978960241981946
1.63e-05,-4.415289715228342e-76,4.415289715228342e-76,0.0064755605526833635,0.020187410359444255,0.013331485456063809,0.013331485456063809,-0.0004697896639273234
1.6325e-05,-2.3947568747774455e-76,2.3947568747774455e-76,0.026465834840148215,-0.0184214817413126,0.004022176549417807,0.004022176549417807,-0.00046978972582736384
1.635e-05,-1.1065922827577745e-76,1.1065922827577745e-76,-0.000674422322062171,0.005570060750628542,0.0024478192142831853,0.0024478192142831853,-0.0004697897881202649
1.6375e-05,-4.562187213172082e-77,4.562187213172082e-77,-0.007039654336533375,-0.0063734851357133224,-0.006706569736123349,-0.006706569736123349,-0.00046978985080634803
1.64e-05,-1.6970142283319377e-77,1.6970142283319377e-77,-0.010180919298485105,-0.01168620108675895,-0.010933560192622028,-0.010933560192622028,-0.00046978991388593294
1.6425e-05,-5.631928356794827e-78,5.631928356794827e-78,-0.02011233895174477,0.012549942207538507,-0.0037811983721031317,-0.0037811983721031317,-0.0004697899773593346
1.645e-05,-1.5924021121772834e-78,1.5924021121772834e-78,0.024536964726509052,0.004952099909643298,0.014744532318076174,0.014744532318076174,-0.00046979004122687634
1.6475e-05,-3.2498646226671606e-79,3.2498646226671606e-79,0.0029186625497177156,0.01616694590582115,0.009542804227769432,0.009542804227769432,-0.00046979010548886985
1.65e-05,9.984484756574867e-94,-9.984484756574867e-94,-0.0022817342753347785,0.008202421664370916,0.0029603436945180688,0.0029603436945180688,-0.00046979017014564284
1.6525e-05,4.860777642727504e-80,-4.860777642727504e-80,0.017946130289741943,0.005720767139150167,0.011833448714446054,0.011833448714446054,-0.0004697902351975242
1.655e-05,3.562326435479197e-80,-3.562326435479197e-80,-0.0006912983195222336,-0.002991735821940196,-0.001841517070731215,-0.001841517070731215,-0.00046979030064484684
