a_m=0.009246010048290298,b_m=0.002648018873008202,c_m=0.008575913291890601
time_s,source_pressure_pa,receiver_pressure_pa,receiver_envelope_pa
1.914545454545455e-06,0.0010419024655916628,0.0009693270879914796,0.0009773896184734094
1.922727272727273e-06,0.0010388392452026984,0.0010118041816262438,0.0010393871072250634
1.9309090909090914e-06,0.0010194997099697903,0.001044150719640965,0.0011048968356800596
1.9390909090909092e-06,0.0009821621624470094,0.0010645786301234305,0.0011741574062117933
1.9472727272727275e-06,0.0009251801106022854,0.0010712685425142523,0.0012472795444863766
1.9554545454545458e-06,0.0008470177525185584,0.0010623955216812555,0.0013245589062196304
1.963636363636364e-06,0.0007462877946392136,0.0010361579580932785,0.0014060882903120975
1.9718181818181823e-06,0.0006217912386453164,0.0009908094963303402,0.0014922172393964201
1.98e-06,0.00047255869723831264,0.0009246938184255619,0.001583027517442078
1.9881818181818184e-06,0.00029789272363468593,0.000836282028574188,0.0016789180786690395
1.9963636363636366e-06,9.741056472768624e-05,0.0007242123123444283,0.0017799677646737387
2.004545454545455e-06,-0.00012891332496978625,0.0005873314676090994,0.0018866194075843796
2.012727272727273e-06,-0.00038070574080794473,0.00042473782706064014,0.001998957968571833
2.0209090909090914e-06,-0.0006571549533121966,0.0002358250145953815,0.0021174638580981056
2.0290909090909092e-06,-0.0009569735551156567,2.0325901413097207e-05,0.0022422378030257416
2.0372727272727275e-06,-0.0012783648321433555,-0.00022164394614457013,0.0023737910497465247
2.0454545454545457e-06,-0.0016189936002041659,-0.0004895441046093741,0.002512249994861661
2.053636363636364e-06,-0.001975962474588481,-0.0007823692585767511,0.0026581498760134396
2.0618181818181823e-06,-0.002345794552895074,-0.0010986121904789027,0.0028116525683969727
2.0700000000000005e-06,-0.002724423488453236,-0.0014362307389873669,0.0029733106976940252
2.0781818181818183e-06,-0.0031071919118060565,-0.001792619705457442,0.0031433309860419245
2.0863636363636366e-06,-0.0034888591193632306,-0.0021645887101072077,0.003322277417495643
2.094545454545455e-06,-0.0038636188902853585,-0.002548347007056622,0.0035104101658460607
2.102727272727273e-06,-0.004225128213926453,-0.0029394962582603777,0.0037082994232069456
2.1109090909090914e-06,-0.004566547609998047,-0.0033330322391970173,0.003916266368575942
2.119090909090909e-06,-0.004880593601601798,-0.003723356402532888,0.004134883397229177
2.1272727272727275e-06,-0.005159603757323929,-0.004104298158673934,0.004364538955637795
2.1354545454545457e-06,-0.005395614552992815,-0.004469148643211827,0.0046058049974041
2.143636363636364e-06,-0.0055804521171840945,-0.004810706630117295,0.004859142024188918
2.1518181818181822e-06,-0.005705835718266054,-0.005121337115819574,0.005125120417003732
2.1600000000000005e-06,-0.005763493626328357,-0.005393042943091915,0.005404275926202688
2.1681818181818183e-06,-0.005745290742820767,-0.005617549655396678,0.005697177829775685
2.1763636363636366e-06,-0.0056433671367238526,-0.005786403572921307,0.006004438673820061
2.184545454545455e-06,-0.005450286361644252,-0.005891082862312942,0.006326628719262622
2.192727272727273e-06,-0.0051591921569126495,-0.0059231211349342295,0.006664437224434282
2.2009090909090914e-06,-0.004763971861561489,-0.005874242855653252,0.007018439080529471
2.2090909090909096e-06,-0.004259424597396639,-0.005736509578584258,0.007389398625689156
2.2172727272727275e-06,-0.003641432011070037,-0.005502475751145519,0.007777900466969795
2.2254545454545457e-06,-0.0029071291102614107,-0.00516535254711129,0.008184780983187126
2.233636363636364e-06,-0.002055072491222071,-0.004719177907282942,0.008610640835677053
2.2418181818181822e-06,-0.0010854030396579195,-0.00415899068769684,0.009056384193153485
2.2500000000000005e-06,8.709692614970028e-17,-0.0034810065450156355,0.009522635122963807
2.2581818181818183e-06,0.0011973768446771318,-0.002682792932334971,0.010010360359372052
